otu	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Clostridium (OTU 201)	10.351471506778841	0.005652056863760547	2	Kruskal-Wallis rank sum test	0	0	0	0.04159060711069082
Lachnospiraceae (OTU 62)	9.985395286916027	0.006787329977046896	2	Kruskal-Wallis rank sum test	0	0.001	0.009	0.04812833983724162
Clostridiales (OTU 171)	9.995719821852054	0.0067523822466876255	2	Kruskal-Wallis rank sum test	0	0	0	0.04812833983724162
Acetatifactor (OTU 79)	9.775588647066327	0.007538030608895323	2	Kruskal-Wallis rank sum test	0.007	0.004	0.002	0.052496998883378145
Lachnospiraceae (OTU 102)	9.696299681544856	0.007842874701069598	2	Kruskal-Wallis rank sum test	0	0.001	0	0.05366177427047619
Lachnospiraceae (OTU 42)	9.60619032953495	0.00820431400594224	2	Kruskal-Wallis rank sum test	0.009	0.001	0	0.05467337016391056
Firmicutes (OTU 129)	9.589975635224524	0.00827109958889929	2	Kruskal-Wallis rank sum test	0	0	0	0.05467337016391056
Lachnospiraceae (OTU 68)	9.534910733868486	0.008501987094920031	2	Kruskal-Wallis rank sum test	0	0	0.005	0.0552629161169802
Lachnospiraceae (OTU 74)	9.249761461762319	0.00980482437885124	2	Kruskal-Wallis rank sum test	0.008	0.004	0.004	0.06268658209429483
Acetatifactor (OTU 55)	8.949028476587293	0.011395756402309614	2	Kruskal-Wallis rank sum test	0	0.007	0.002	0.0712307400427719
Lachnospiraceae (OTU 66)	8.929685648592878	0.01150650416075546	2	Kruskal-Wallis rank sum test	0	0.002	0	0.0712307400427719
Turicibacter (OTU 5)	8.88604321879981	0.011760349596030412	2	Kruskal-Wallis rank sum test	0.012	0.026	0.021	0.07166463035081032
Clostridiales (OTU 195)	8.419036963724826	0.01485351885513258	2	Kruskal-Wallis rank sum test	0	0	0	0.08912111313079549
Lachnospiraceae (OTU 90)	8.336459518465022	0.015479638570802354	2	Kruskal-Wallis rank sum test	0	0.001	0	0.09147059155474119
Lachnospiraceae (OTU 174)	7.7895424836600835	0.020348028694598435	2	Kruskal-Wallis rank sum test	0	0	0	0.11790471689350873
Lachnospiraceae (OTU 244)	7.739837398373992	0.020860065296543853	2	Kruskal-Wallis rank sum test	0	0	0	0.11790471689350873
Lachnospiraceae (OTU 316)	7.739837398373992	0.020860065296543853	2	Kruskal-Wallis rank sum test	0	0	0	0.11790471689350873
Enterorhabdus (OTU 109)	7.6735299231847085	0.021563246562697674	2	Kruskal-Wallis rank sum test	0	0	0.001	0.11889732324147949
Clostridiales (OTU 115)	7.665923700616993	0.021645410128577035	2	Kruskal-Wallis rank sum test	0	0	0	0.11889732324147949
Ruminococcaceae (OTU 37)	7.561589008363191	0.022804565902675614	2	Kruskal-Wallis rank sum test	0	0.001	0.002	0.12352473197282625
Lachnospiraceae (OTU 127)	7.399294545195439	0.024732248673796135	2	Kruskal-Wallis rank sum test	0.001	0	0	0.13213119154493827
Lachnospiraceae (OTU 16)	7.269800745238884	0.026386563080638716	2	Kruskal-Wallis rank sum test	0.004	0.008	0.016	0.13837013745038998
Lachnospiraceae (OTU 135)	7.252963309069481	0.02660964181738269	2	Kruskal-Wallis rank sum test	0	0.001	0	0.13837013745038998
Porphyromonadaceae (OTU 7)	6.928642228192462	0.031294243437161876	2	Kruskal-Wallis rank sum test	0.001	0.014	0	0.16058888079596226
Lachnospiraceae (OTU 146)	6.785842229705523	0.033610353659467934	2	Kruskal-Wallis rank sum test	0	0	0	0.17023425879470772
Lachnospiraceae (OTU 88)	6.576470588235363	0.03731964952524554	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Clostridium (OTU 126)	6.587679381189499	0.03711108041084234	2	Kruskal-Wallis rank sum test	0	0.001	0.001	0.17173434428285725
Lachnospiraceae (OTU 128)	6.588235294117715	0.03710076657961654	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Clostridium (OTU 145)	6.57060397754113	0.03742928016421248	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Firmicutes (OTU 155)	6.576470588235363	0.03731964952524554	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Lachnospiraceae (OTU 160)	6.588235294117715	0.03710076657961654	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Clostridiales (OTU 179)	6.5725583511216	0.037392722630746444	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Lachnospiraceae (OTU 180)	6.57060397754113	0.03742928016421248	2	Kruskal-Wallis rank sum test	0	0	0	0.17173434428285725
Lachnospiraceae (OTU 33)	6.461615154536389	0.03952556594744431	2	Kruskal-Wallis rank sum test	0	0.001	0	0.17924384557561954
Peptostreptococcaceae (OTU 12)	6.434884401521822	0.04005738608950356	2	Kruskal-Wallis rank sum test	0.003	0	0.001	0.17956759281501594
Pseudoflavonifractor (OTU 69)	6.254198567361935	0.04384479428280521	2	Kruskal-Wallis rank sum test	0.007	0.002	0.003	0.19431215648061398
Lachnospiraceae (OTU 167)	5.914308914530385	0.0519665801069702	2	Kruskal-Wallis rank sum test	0	0	0	0.2277187218170604
Porphyromonadaceae (OTU 44)	5.858892926333178	0.05342660355462215	2	Kruskal-Wallis rank sum test	0	0	0	0.2315152820700293
Lachnospiraceae (OTU 86)	5.772271113169665	0.05579139926086626	2	Kruskal-Wallis rank sum test	0	0	0	0.23910599683228395
Lachnospiraceae (OTU 49)	5.726480065710496	0.057083507874606414	2	Kruskal-Wallis rank sum test	0.003	0.009	0.011	0.24198443555539673
Clostridiales (OTU 137)	5.591461901216166	0.06107021870055097	2	Kruskal-Wallis rank sum test	0	0	0	0.2507093188759461
Lachnospiraceae (OTU 185)	5.606421810899011	0.06061512040176013	2	Kruskal-Wallis rank sum test	0	0	0	0.2507093188759461
Porphyromonadaceae (OTU 194)	5.6311605723370475	0.05986996694436636	2	Kruskal-Wallis rank sum test	0	0	0	0.2507093188759461
Ruminococcaceae (OTU 60)	5.334640522875799	0.0694380520403454	2	Kruskal-Wallis rank sum test	0	0.004	0.004	0.27959445372738656
Lachnospiraceae (OTU 76)	5.331701731787609	0.06954015900399102	2	Kruskal-Wallis rank sum test	0	0.003	0	0.27959445372738656
Akkermansia (OTU 3)	4.841320696144515	0.08886291762400962	2	Kruskal-Wallis rank sum test	0.031	0.012	0.116	0.30085649278095467
Lachnospiraceae (OTU 11)	4.934701986361075	0.08480922190811724	2	Kruskal-Wallis rank sum test	0.065	0.034	0.027	0.30085649278095467
Lachnospiraceae (OTU 64)	4.988751922096284	0.08254794845721969	2	Kruskal-Wallis rank sum test	0	0	0.002	0.30085649278095467
Oscillibacter (OTU 119)	4.99627140838763	0.08223817207853447	2	Kruskal-Wallis rank sum test	0.001	0	0.001	0.30085649278095467
Lachnospiraceae (OTU 121)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Porphyromonadaceae (OTU 122)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 144)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 157)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 161)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 162)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Ruminococcaceae (OTU 169)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 183)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 184)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Acetatifactor (OTU 206)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Ruminococcaceae (OTU 219)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Lachnospiraceae (OTU 222)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Bacteria (OTU 223)	4.817647058823526	0.08992102180498099	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Oscillibacter (OTU 236)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Acetatifactor (OTU 247)	4.812051649928258	0.09017294648870361	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Dialister (OTU 320)	4.810189400837729	0.0902569478342864	2	Kruskal-Wallis rank sum test	0	0	0	0.30085649278095467
Bacteroidales (OTU 38)	4.735034195016244	0.09371311819011806	2	Kruskal-Wallis rank sum test	0	0	0	0.3097297974080173
Lachnospiraceae (OTU 193)	4.42418300653601	0.10947144901993652	2	Kruskal-Wallis rank sum test	0	0	0	0.3587719757796239
Porphyromonadaceae (OTU 40)	4.384481424148623	0.11166625615293493	2	Kruskal-Wallis rank sum test	0	0	0	0.35991603222846796
Clostridium (OTU 172)	4.39411764705884	0.11112952972719119	2	Kruskal-Wallis rank sum test	0	0	0	0.35991603222846796
Porphyromonadaceae (OTU 67)	4.348019022233022	0.11372073703112745	2	Kruskal-Wallis rank sum test	0	0	0	0.363533503624096
Lachnospiraceae (OTU 46)	4.285108800995986	0.11735468895223324	2	Kruskal-Wallis rank sum test	0.002	0.005	0.008	0.3721002332631786
Porphyromonadaceae (OTU 15)	3.982996897538164	0.13649074774135053	2	Kruskal-Wallis rank sum test	0	0	0	0.4292854162832799
Ruminococcaceae (OTU 100)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Lachnospiraceae (OTU 120)	3.7837908496731627	0.15078573477937812	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Ruminococcaceae (OTU 147)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Lachnospiraceae (OTU 189)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Akkermansia (OTU 360)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Lachnospiraceae (OTU 415)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Akkermansia (OTU 896)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Lachnospiraceae (OTU 1064)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Acetatifactor (OTU 1355)	3.7777777777776738	0.15123975969050363	2	Kruskal-Wallis rank sum test	0	0	0	0.4434850096187701
Ruminococcaceae (OTU 153)	3.6089207161125234	0.16456323784549107	2	Kruskal-Wallis rank sum test	0	0	0	0.47895270716225014
Blautia (OTU 132)	3.4470588235293302	0.17843526372233776	2	Kruskal-Wallis rank sum test	0	0	0	0.5154796507534202
Porphyromonadaceae (OTU 6)	2.7602982699990615	0.25154103668993544	2	Kruskal-Wallis rank sum test	0.002	0	0	0.5171897933601051
Blautia (OTU 19)	3.0271048005408803	0.22012660953684315	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Porphyromonadaceae (OTU 21)	3.304139013368157	0.19165287102886655	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 36)	2.553910770536855	0.27888510688114293	2	Kruskal-Wallis rank sum test	0.012	0.01	0.008	0.5171897933601051
Porphyromonadaceae (OTU 48)	2.5653305570015625	0.27729724028520614	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Ruminococcaceae (OTU 52)	2.484404160965817	0.2887476717208931	2	Kruskal-Wallis rank sum test	0.001	0.005	0	0.5171897933601051
Lachnospiraceae (OTU 58)	2.2863751857711296	0.31880119205297597	2	Kruskal-Wallis rank sum test	0	0.001	0.009	0.5171897933601051
Lachnospiraceae (OTU 72)	1.735418376198645	0.4199123885733512	2	Kruskal-Wallis rank sum test	0.003	0.001	0.002	0.5171897933601051
Lachnospiraceae (OTU 75)	2.399464524765722	0.30127486372907636	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 82)	3.3664700708779516	0.1857720238153835	2	Kruskal-Wallis rank sum test	0	0.001	0	0.5171897933601051
Lachnospiraceae (OTU 103)	2.6187052530398756	0.2699947872855525	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteria (OTU 105)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 107)	2.066953610712565	0.3557678721392484	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 116)	2.4330712896148694	0.2962547227737828	2	Kruskal-Wallis rank sum test	0.001	0	0	0.5171897933601051
Lachnospiraceae (OTU 123)	1.6356036762858892	0.44140085941394464	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 125)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 130)	2.5617647058822923	0.277792081624078	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Dorea (OTU 134)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 136)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 141)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Erysipelotrichaceae (OTU 142)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 149)	3.1075917546505574	0.21144383372968803	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Staphylococcus (OTU 156)	2.3119535566902725	0.31474994577252796	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 163)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 164)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteria (OTU 168)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 173)	1.6939263510281706	0.4287148889512925	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Porphyromonadaceae (OTU 175)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteroides (OTU 178)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridium (OTU 186)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Enterococcus (OTU 187)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Porphyromonadaceae (OTU 190)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Prevotella (OTU 191)	2.210977812177536	0.3310489908030665	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Veillonella (OTU 192)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 197)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Akkermansia (OTU 200)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Actinobacillus (OTU 202)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 203)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Coriobacteriaceae (OTU 204)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 208)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteria (OTU 209)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Firmicutes (OTU 210)	3.1334289813487772	0.20872984085385826	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Porphyromonadaceae (OTU 212)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Corynebacterium (OTU 213)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 214)	3.1334289813487772	0.20872984085385826	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacillus (OTU 218)	2.3147058823529987	0.3143170964998343	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 220)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Listeria (OTU 228)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Dorea (OTU 229)	1.6939263510281706	0.4287148889512925	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Streptococcus (OTU 230)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteria (OTU 232)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Pasteurellaceae (OTU 233)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Firmicutes (OTU 235)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteroides (OTU 237)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 243)	3.1334289813487772	0.20872984085385826	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Parabacteroides (OTU 245)	1.641456582633015	0.44011100873244646	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteria (OTU 248)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 249)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 251)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Coriobacteriaceae (OTU 252)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Porphyromonadaceae (OTU 258)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Bacteroides (OTU 261)	3.131652661064566	0.2089153087293682	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Acidaminococcus (OTU 267)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridium (OTU 268)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Clostridiales (OTU 269)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Lachnospiraceae (OTU 276)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Alistipes (OTU 277)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
Aerococcus (OTU 281)	1.5294117647057408	0.46547081402409457	2	Kruskal-Wallis rank sum test	0	0	0	0.5171897933601051
