otu	statistic	p.value	parameter	method	WM	WMR	CWM	p.value.adj
Ruminococcaceae (OTU 54)	2.208356900452459	0.3314831002723769	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Oscillibacter (OTU 57)	3.1895155047957497	0.2029576885612373	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 58)	3.978428034883015	0.1368029078998837	2	Kruskal-Wallis rank sum test	0	0.009	0	0.5581884923325606
Lachnospiraceae (OTU 73)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 77)	3.8983408683961716	0.14239214625938482	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 80)	1.9561764838672582	0.37602928915634354	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 85)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 87)	3.012912482066134	0.22169421843354062	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 88)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 92)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 95)	3.5353328843563654	0.17073093483822763	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 96)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 97)	3.012912482066134	0.22169421843354062	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 99)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 101)	3.7673676174612183	0.15202902708086194	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 103)	2.3662883103825965	0.3063141238039525	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 107)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteria (OTU 108)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 115)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcaceae (OTU 118)	3.3312500000000784	0.1890724507643393	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 125)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 131)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 132)	3.770744301994254	0.15177256660615335	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 137)	2.0361111170563557	0.36129677804948795	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Erysipelotrichaceae (OTU 142)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 145)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 149)	2.940660474716206	0.229849567738014	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 154)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 155)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Staphylococcus (OTU 156)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 160)	3.3312500000000784	0.1890724507643393	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 163)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 166)	3.012912482066134	0.22169421843354062	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 171)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 173)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 175)	3.3292682926830044	0.18925988673938324	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 178)	3.012912482066134	0.22169421843354062	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 179)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Coriobacteriaceae (OTU 182)	1.9481481481481333	0.3775417674831249	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 183)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Enterococcus (OTU 187)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 189)	3.351540242165275	0.18716398503470608	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Veillonella (OTU 192)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 196)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 197)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 198)	3.0147058823530792	0.22149551429839182	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Akkermansia (OTU 200)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 201)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Actinobacillus (OTU 202)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteria (OTU 209)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Firmicutes (OTU 210)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Corynebacterium (OTU 213)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacillus (OTU 218)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Dorea (OTU 229)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 230)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Fusobacterium (OTU 231)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Pasteurellaceae (OTU 233)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 237)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 238)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Parabacteroides (OTU 245)	1.55539614219662	0.4594624448022627	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 249)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 261)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Faecalibacterium (OTU 262)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Acidaminococcus (OTU 267)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 268)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 276)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Alistipes (OTU 277)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Aerococcus (OTU 281)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Veillonellaceae (OTU 286)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Alistipes (OTU 289)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lactobacillus (OTU 294)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 296)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 297)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bradyrhizobium (OTU 315)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Roseburia (OTU 319)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 327)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 336)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bilophila (OTU 339)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium_sensu (OTU 345)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Butyrivibrio (OTU 346)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Fusobacterium (OTU 350)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 355)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Parasutterella (OTU 356)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Akkermansia (OTU 360)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 361)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 367)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Veillonella (OTU 368)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 369)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 370)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Oscillibacter (OTU 371)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 391)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 394)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 398)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Bacteroides (OTU 400)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Enterobacteriaceae (OTU 408)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 415)	3.666666666666647	0.1598797460796955	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Blautia (OTU 422)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lactobacillus (OTU 423)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Flavonifractor (OTU 439)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 441)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Corynebacterium (OTU 444)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 447)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridium (OTU 449)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Streptococcus (OTU 451)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Mannheimia (OTU 454)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Barnesiella (OTU 459)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Ruminococcus (OTU 463)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Subdoligranulum (OTU 469)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 473)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Neisseriaceae (OTU 479)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Lachnospiraceae (OTU 482)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Porphyromonadaceae (OTU 497)	1.6250000000000375	0.44374731008107143	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Clostridiales (OTU 500)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
Fusicatenibacter (OTU 511)	1.4705882352938788	0.4793644486954282	2	Kruskal-Wallis rank sum test	0	0	0	0.5581884923325606
