otu	statistic	p.value	parameter	method	C	WM	WMR	p.value.adj
Lachnospiraceae (OTU 59)	18.395375722543353	1.0127328923702873e-4	2	Kruskal-Wallis rank sum test	0.1645	0	0	0.003987635763708006
Bacteria (OTU 124)	18.395375722543353	1.0127328923702873e-4	2	Kruskal-Wallis rank sum test	0.01675	0	0	0.003987635763708006
Lachnospiraceae (OTU 134)	18.558677685950418	9.333281071366957e-5	2	Kruskal-Wallis rank sum test	0.0055	0	0	0.003987635763708006
Lachnospiraceae (OTU 139)	18.05641025641024	1.1997764451987628e-4	2	Kruskal-Wallis rank sum test	0.0025	0	0	0.004446230355736592
Lachnospiraceae (OTU 32)	17.179190751445088	1.8603134522720129e-4	2	Kruskal-Wallis rank sum test	0.028999999999999998	0	0	0.006235836392893882
Lachnospiraceae (OTU 79)	17.157446808510638	1.8806490708727584e-4	2	Kruskal-Wallis rank sum test	0.1295	0	0	0.006235836392893882
Ruminococcaceae (OTU 50)	16.89794676806085	2.1412012170769854e-4	2	Kruskal-Wallis rank sum test	0.033	0	0	0.0067447838337925045
Lachnospiraceae (OTU 107)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0.01625	0	0	0.00793887873766811
Ruminococcaceae (OTU 113)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0.00925	0	0	0.00793887873766811
Lachnospiraceae (OTU 138)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0.0034999999999999996	0	0	0.00793887873766811
Lachnospiraceae (OTU 192)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0.00275	0	0	0.00793887873766811
Clostridiales (OTU 229)	16.125654450261784	3.1503487054238536e-4	2	Kruskal-Wallis rank sum test	0.002	0	0	0.00793887873766811
Lachnospiraceae (OTU 82)	13.76426408237432	0.0010259543348298678	2	Kruskal-Wallis rank sum test	0.026500000000000003	0	5e-4	0.024859662728569872
Ruminococcaceae (OTU 144)	13.560330578512392	0.0011360870998079543	2	Kruskal-Wallis rank sum test	0.00175	0	0	0.026508698995518932
Porphyromonadaceae (OTU 11)	13.438588450962428	0.0012073900584551036	2	Kruskal-Wallis rank sum test	0	0.28425	0	0.02716627631523983
Lachnospiraceae (OTU 161)	12.967073170731723	0.0015283958076437803	2	Kruskal-Wallis rank sum test	0.002	0	0	0.03320308133846833
Lachnospiraceae (OTU 70)	12.522415940224153	0.0019089384627092522	2	Kruskal-Wallis rank sum test	0.07175000000000001	0	0.00375	0.03378298388148457
Lachnospiraceae (OTU 80)	12.464739884393078	0.001964789935956514	2	Kruskal-Wallis rank sum test	0.03975	0	0	0.03378298388148457
Firmicutes (OTU 116)	12.289276807980041	0.0021449513575545758	2	Kruskal-Wallis rank sum test	0.02175	0	0	0.03378298388148457
Lachnospiraceae (OTU 132)	12.289276807980041	0.0021449513575545758	2	Kruskal-Wallis rank sum test	0.006999999999999999	0	0	0.03378298388148457
Clostridium (OTU 146)	12.648860398860393	0.0017919870349254712	2	Kruskal-Wallis rank sum test	0.0035	0	0	0.03378298388148457
Lachnospiraceae (OTU 179)	12.304619225967532	0.0021285599387915587	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.03378298388148457
Clostridium (OTU 204)	12.289276807980041	0.0021449513575545758	2	Kruskal-Wallis rank sum test	0.00125	0	0	0.03378298388148457
Firmicutes (OTU 237)	12.304619225967532	0.0021285599387915587	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.03378298388148457
Clostridiales (OTU 252)	12.319999999999991	0.0021122532717327233	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.03378298388148457
Bacteria (OTU 315)	12.319999999999991	0.0021122532717327233	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.03378298388148457
Bacteria (OTU 341)	12.350877192982448	0.0020798934833850336	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.03378298388148457
Clostridium (OTU 186)	12.21523178807948	0.0022258511570066772	2	Kruskal-Wallis rank sum test	0.003	0	0	0.034202103144248944
Acetatifactor (OTU 71)	11.998813760379592	0.002480222809774627	2	Kruskal-Wallis rank sum test	0.07575000000000001	0	0.01175	0.03653105596446043
Ruminococcaceae (OTU 228)	11.98822447102117	0.00249338953408222	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.03653105596446043
Clostridium (OTU 61)	11.872340425531918	0.002642129091580278	2	Kruskal-Wallis rank sum test	0.0125	0	0	0.03783048472035398
Acetatifactor (OTU 145)	11.623880597014926	0.002991619801882661	2	Kruskal-Wallis rank sum test	0.01175	0	0	0.04188267722635725
Lachnospiraceae (OTU 122)	11.502487562189048	0.0031788245747738754	2	Kruskal-Wallis rank sum test	0.013999999999999999	0.004	0	0.043536075697990034
Lachnospiraceae (OTU 126)	11.392990654205613	0.0033577125447503634	2	Kruskal-Wallis rank sum test	0.004	0	0.00375	0.04500763623814317
Lachnospiraceae (OTU 137)	10.838709677419365	0.004430003793035892	2	Kruskal-Wallis rank sum test	0.0045	0	0	0.05814379978359609
Olsenella (OTU 90)	10.61851642129106	0.004945593946296981	2	Kruskal-Wallis rank sum test	7.5e-4	0.01575	0.00425	0.06358620788096118
Oscillibacter (OTU 52)	10.417021276595761	0.00546981415580662	2	Kruskal-Wallis rank sum test	0.06075	0	0	0.06891965836316341
Acetatifactor (OTU 105)	9.986695815115539	0.006782917854707477	2	Kruskal-Wallis rank sum test	0.0335	0	0.00475	0.08378898526403354
Peptostreptococcaceae (OTU 18)	9.902864259028648	0.007073271830614323	2	Kruskal-Wallis rank sum test	0	0.015	0.0045	0.08472256823522789
Coriobacteriaceae (OTU 149)	9.887602339181301	0.007127454153122346	2	Kruskal-Wallis rank sum test	0.003	0	0.001	0.08472256823522789
Ruminococcaceae (OTU 72)	9.763387297633878	0.007584158243422313	2	Kruskal-Wallis rank sum test	0.057499999999999996	0	0	0.08848184617326031
Lachnospiraceae (OTU 7)	9.683794466403157	0.007892066747820801	2	Kruskal-Wallis rank sum test	1.31475	0.10375	0.581	0.08878575091298402
Clostridiales (OTU 55)	9.71708428246013	0.007761791242306488	2	Kruskal-Wallis rank sum test	0	0.0145	0.01425	0.08878575091298402
Acetatifactor (OTU 111)	9.582261086820724	0.008303065098198687	2	Kruskal-Wallis rank sum test	0.015	0	5e-4	0.09177071950640654
Porphyromonadaceae (OTU 4)	9.538434163701067	0.00848702220324371	2	Kruskal-Wallis rank sum test	2.77675	0	0	0.09218662048350927
Lachnospiraceae (OTU 195)	9.374316487158259	0.009212829609685412	2	Kruskal-Wallis rank sum test	0.001	0	0	0.09837428227291202
Lachnospiraceae (OTU 156)	9.215088967971548	0.009976285184183637	2	Kruskal-Wallis rank sum test	0.003	0	0	0.10475099443392819
Oscillibacter (OTU 39)	9.123920051579612	0.01044157312101171	2	Kruskal-Wallis rank sum test	0.03325	0	0	0.10525469333245312
Lachnospiraceae (OTU 87)	8.856787048567874	0.011933645393598716	2	Kruskal-Wallis rank sum test	0.014	0	0.00575	0.10525469333245312
Blautia (OTU 147)	8.810642439974039	0.01221218298747475	2	Kruskal-Wallis rank sum test	0.00125	0	7.5e-4	0.10525469333245312
Firmicutes (OTU 164)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.10525469333245312
Clostridiales (OTU 202)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0.002	0	0	0.10525469333245312
Porphyromonadaceae (OTU 219)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	2.5e-4	0	0.10525469333245312
Firmicutes (OTU 231)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	7.5e-4	0	0	0.10525469333245312
Bacteria (OTU 239)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	0.00225	0	0	0.10525469333245312
Acetatifactor (OTU 241)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.10525469333245312
Firmicutes (OTU 304)	8.78605388272585	0.012363249693018302	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.10525469333245312
Porphyromonadaceae (OTU 307)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	0	2.5e-4	0	0.10525469333245312
Ruminococcaceae (OTU 388)	8.842105263157913	0.012021571336618334	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.10525469333245312
Lachnospiraceae (OTU 425)	8.80000000000002	0.012277339903068316	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.10525469333245312
Lachnospiraceae (OTU 499)	8.842105263157913	0.012021571336618334	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.10525469333245312
Lachnospiraceae (OTU 112)	8.71939163498098	0.012782275202791371	2	Kruskal-Wallis rank sum test	0.00275	0	0	0.10732238472591855
Ruminococcaceae (OTU 272)	8.693809024134321	0.012946827363761605	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.10732238472591855
Lachnospiraceae (OTU 177)	8.519269776876273	0.01412745956746563	2	Kruskal-Wallis rank sum test	0.002	0	0	0.11558830555199152
Clostridiales (OTU 94)	8.457851239669429	0.014568033750046876	2	Kruskal-Wallis rank sum test	0.00475	0	0	0.11617545901936116
Lachnospiraceae (OTU 163)	8.457851239669429	0.014568033750046876	2	Kruskal-Wallis rank sum test	0.0022500000000000003	0	0	0.11617545901936116
Bacteroides (OTU 1)	8.056916996047434	0.017801750247198718	2	Kruskal-Wallis rank sum test	0.020499999999999997	2.516	4.999499999999999	0.13864239172015605
Lachnospiraceae (OTU 46)	8.029715909090923	0.018045517652464756	2	Kruskal-Wallis rank sum test	7.5e-4	0.0185	0.01125	0.13864239172015605
Lachnospiraceae (OTU 155)	8.039008264462797	0.017961869443713047	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.13864239172015605
Ruminococcaceae (OTU 217)	7.969825206991718	0.018594069308383036	2	Kruskal-Wallis rank sum test	0.0022500000000000003	0	0	0.14113570679857004
Lachnospiraceae (OTU 104)	7.816817593790427	0.020072414953202843	2	Kruskal-Wallis rank sum test	0.01225	0	0	0.15054311214902133
Lachnospiraceae (OTU 74)	7.730965732087216	0.02095280259709223	2	Kruskal-Wallis rank sum test	0.01525	0	2.5e-4	0.1552972427784483
Lachnospiraceae (OTU 23)	7.60331950207469	0.02233367274053558	2	Kruskal-Wallis rank sum test	0.2915	0	0.037000000000000005	0.15809229018581367
Ruminococcaceae (OTU 81)	7.644995864350702	0.021873095089014194	2	Kruskal-Wallis rank sum test	0.009000000000000001	0	0	0.15809229018581367
Ruminococcaceae (OTU 128)	7.638677685950412	0.021942303407552117	2	Kruskal-Wallis rank sum test	0.00425	0	0	0.15809229018581367
Bacteroides (OTU 178)	7.615458937198078	0.022198524226462138	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.15809229018581367
Ruminococcaceae (OTU 33)	7.455834945196647	0.024042853638427446	2	Kruskal-Wallis rank sum test	0.14425	0	0	0.1664505251891131
Lachnospiraceae (OTU 119)	7.472169811320761	0.023847284974847255	2	Kruskal-Wallis rank sum test	0.0195	2.5e-4	0	0.1664505251891131
Turicibacter (OTU 5)	7.330621468926541	0.02559621642128029	2	Kruskal-Wallis rank sum test	0.63625	0.019	0.41300000000000003	0.17527843853702807
Lachnospiraceae (OTU 26)	7.212265758092002	0.02715666216631028	2	Kruskal-Wallis rank sum test	0.03725	0.0385	0.18625	0.18376113057596238
Lachnospiraceae (OTU 45)	7.150980392156875	0.028001696087765697	2	Kruskal-Wallis rank sum test	0.0485	0	0.02425	0.18376113057596238
Ruminococcaceae (OTU 67)	7.15535483870969	0.027940517056793686	2	Kruskal-Wallis rank sum test	0.0375	0	0	0.18376113057596238
Lachnospiraceae (OTU 103)	7.182424242424238	0.027564898167590647	2	Kruskal-Wallis rank sum test	0.01975	0.005	0	0.18376113057596238
Lachnospiraceae (OTU 91)	6.9930348258706445	0.030302731775141926	2	Kruskal-Wallis rank sum test	0.02075	0	0	0.19681155689009705
Lachnospiraceae (OTU 51)	6.932244897959186	0.03123792276623384	2	Kruskal-Wallis rank sum test	0.0235	0.001	0.00275	0.1988106287982278
Lachnospiraceae (OTU 88)	6.932004981320048	0.031241670239721516	2	Kruskal-Wallis rank sum test	0.01675	0	0	0.1988106287982278
Lachnospiraceae (OTU 17)	6.752009054895308	0.03418376253116611	2	Kruskal-Wallis rank sum test	0.055	0.01525	0.0105	0.21535770394634648
Coriobacteriaceae (OTU 245)	6.5868661679135405	0.03712617309066393	2	Kruskal-Wallis rank sum test	7.5e-4	0	0	0.2315790994764186
Ruminococcaceae (OTU 75)	6.556734693877558	0.03768974087325778	2	Kruskal-Wallis rank sum test	0.0185	0	0.01625	0.2327895759818863
Lachnospiraceae (OTU 47)	6.430186546071222	0.04015158858840976	2	Kruskal-Wallis rank sum test	0.006	0.013500000000000002	0.043	0.2455873865116325
Ruminococcaceae (OTU 53)	6.3437782076079925	0.04192432364908794	2	Kruskal-Wallis rank sum test	0.0085	0	0	0.2539646528742827
Lachnospiraceae (OTU 58)	6.277543538038516	0.04333599183581392	2	Kruskal-Wallis rank sum test	0.0315	0	0	0.2575629703449318
Lachnospiraceae (OTU 143)	6.277543538038516	0.04333599183581392	2	Kruskal-Wallis rank sum test	0.0055	0	0	0.2575629703449318
Porphyromonadaceae (OTU 8)	6.073855120732709	0.047982085313893946	2	Kruskal-Wallis rank sum test	0	7.5e-4	0	0.28251134343694567
Ruminococcaceae (OTU 69)	5.674688796680494	0.05858102745782449	2	Kruskal-Wallis rank sum test	0.0345	0	0.03325	0.28920011654666256
Lachnospiraceae (OTU 77)	5.974688796680501	0.05042115760012469	2	Kruskal-Wallis rank sum test	0.013000000000000001	0	0.027	0.28920011654666256
Anaeroplasma (OTU 95)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 141)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Clostridium (OTU 148)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 171)	5.577032810271034	0.061512405741671085	2	Kruskal-Wallis rank sum test	0.0015	0	0	0.28920011654666256
Lachnospiraceae (OTU 182)	5.903279938977879	0.0522539407729745	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.28920011654666256
Lachnospiraceae (OTU 189)	5.918532110091732	0.051856963365711245	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.28920011654666256
Lachnospiraceae (OTU 197)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Porphyromonadaceae (OTU 201)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Clostridiales (OTU 210)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Bacteria (OTU 238)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Bacteroides (OTU 250)	5.6	0.06081006262521797	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Firmicutes (OTU 275)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 278)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Coriobacteriaceae (OTU 310)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Bacteroides (OTU 323)	5.600000000000005	0.06081006262521781	2	Kruskal-Wallis rank sum test	0	2.5e-4	0	0.28920011654666256
Clostridiales (OTU 330)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 368)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Streptococcus (OTU 373)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 394)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 435)	5.587301587301612	0.06119738655956153	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Firmicutes (OTU 615)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 683)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 699)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Lachnospiraceae (OTU 718)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Ruminococcaceae (OTU 815)	5.6000000000000245	0.060810062625217216	2	Kruskal-Wallis rank sum test	0	0	0	0.28920011654666256
Akkermansia (OTU 303)	5.557894736842106	0.06210384545176161	2	Kruskal-Wallis rank sum test	0	0	0	0.2898179454415542
Ruminococcaceae (OTU 48)	5.528163265306122	0.06303396110640194	2	Kruskal-Wallis rank sum test	0.047	2.5e-4	0.03125	0.29199555512524433
Lachnospiraceae (OTU 131)	5.418040345821338	0.0666020332308089	2	Kruskal-Wallis rank sum test	0.0025	2.5e-4	0.003	0.30627212361612854
Lachnospiraceae (OTU 133)	5.381419354838702	0.06783278289168936	2	Kruskal-Wallis rank sum test	0	0.00275	0.00125	0.3096714001577123
Enterorhabdus (OTU 93)	5.055954415954413	0.0798203169965277	2	Kruskal-Wallis rank sum test	0.010499999999999999	0.002	0.00575	0.3617755374662766
Ruminococcaceae (OTU 167)	5.0399999999999885	0.0804596067495329	2	Kruskal-Wallis rank sum test	0.00175	0	0	0.36206823037289804
Porphyromonadaceae (OTU 6)	5.010000000000007	0.08167559798529317	2	Kruskal-Wallis rank sum test	0.00275	2.5e-4	0.00275	0.36313571322564064
Acetatifactor (OTU 165)	5.005742821473145	0.08184963694927139	2	Kruskal-Wallis rank sum test	0	7.5e-4	0.00375	0.36313571322564064
Butyricicoccus (OTU 40)	4.990322580645159	0.08248314658548543	2	Kruskal-Wallis rank sum test	0.01175	0	0.04775	0.3633872891528379
Lachnospiraceae (OTU 223)	4.808080808080812	0.09035215558729442	2	Kruskal-Wallis rank sum test	0	0	2.5e-4	0.3952906806944131
unknown (OTU 120)	4.75816993464052	0.09263530307071069	2	Kruskal-Wallis rank sum test	0.0015	0	5e-4	0.40248442023826025
Lactobacillus (OTU 9)	3.6605649717514073	0.16036825960776502	2	Kruskal-Wallis rank sum test	0.08174999999999999	0.01325	0.0495	0.444027264740405
Blautia (OTU 10)	3.6745650372825183	0.15924959644327172	2	Kruskal-Wallis rank sum test	0	0	2.5e-4	0.444027264740405
Lactobacillus (OTU 12)	3.4861660079051404	0.17498010382466725	2	Kruskal-Wallis rank sum test	0.17575000000000002	0.0455	0.10974999999999999	0.444027264740405
Alistipes (OTU 13)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Erysipelotrichaceae (OTU 20)	3.4618181818181903	0.1771233155602762	2	Kruskal-Wallis rank sum test	0.016	0.08825000000000001	0.09825	0.444027264740405
Clostridium (OTU 25)	4.33632653061225	0.11438752361353059	2	Kruskal-Wallis rank sum test	0.067	0.041999999999999996	0	0.444027264740405
Lachnospiraceae (OTU 28)	4.417514124293779	0.10983708437714564	2	Kruskal-Wallis rank sum test	0.05975	0.00575	0.0475	0.444027264740405
Lachnospiraceae (OTU 30)	3.839406053683613	0.14665050692840523	2	Kruskal-Wallis rank sum test	0.04725	0.004999999999999999	0.1295	0.444027264740405
Lachnospiraceae (OTU 41)	4.543873978996495	0.10311225916010974	2	Kruskal-Wallis rank sum test	0.0022500000000000003	0	0.009000000000000001	0.444027264740405
Lachnospiraceae (OTU 42)	4.258467741935481	0.11892837343824766	2	Kruskal-Wallis rank sum test	0.00925	0.001	0.026250000000000002	0.444027264740405
Lachnospiraceae (OTU 86)	3.7734994337485874	0.15156363383967233	2	Kruskal-Wallis rank sum test	0.01525	0.005	0.012	0.444027264740405
Lachnospiraceae (OTU 97)	4.033655486071621	0.13307695047959875	2	Kruskal-Wallis rank sum test	0.016	0.004	0.01025	0.444027264740405
Clostridiales (OTU 102)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 118)	4.410519217801762	0.11022190700173315	2	Kruskal-Wallis rank sum test	0	0.013000000000000001	0	0.444027264740405
Clostridiales (OTU 125)	2.9097230406599914	0.23343268734454148	2	Kruskal-Wallis rank sum test	5e-4	7.5e-4	0.002	0.444027264740405
Lachnospiraceae (OTU 135)	3.691509433962262	0.15790610149063508	2	Kruskal-Wallis rank sum test	0.0025	0	0.004	0.444027264740405
unknown (OTU 136)	3.7623748211731147	0.15240902617908408	2	Kruskal-Wallis rank sum test	0	0	7.5e-4	0.444027264740405
Lachnospiraceae (OTU 153)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 180)	3.558574979287477	0.16875834651150268	2	Kruskal-Wallis rank sum test	0	2.5e-4	0	0.444027264740405
Coriobacteriaceae (OTU 185)	4.308235294117658	0.11600550326530411	2	Kruskal-Wallis rank sum test	0	0	2.5e-4	0.444027264740405
Clostridiales (OTU 190)	3.5237779618889644	0.17172018110996748	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.444027264740405
Clostridiales (OTU 199)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 216)	3.7230607966457114	0.15543457144451972	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Dorea (OTU 218)	2.7177777777777763	0.25694611408588897	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Bacteria (OTU 226)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 230)	3.250414593698167	0.19687086026492676	2	Kruskal-Wallis rank sum test	0	0	2.5e-4	0.444027264740405
Lachnospiraceae (OTU 233)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Faecalibacterium (OTU 235)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 242)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Veillonella (OTU 243)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Prevotella (OTU 251)	3.4385964912280755	0.17919185246787067	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Acetatifactor (OTU 261)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Akkermansia (OTU 266)	3.5066666666666753	0.17319566131128783	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Porphyromonadaceae (OTU 267)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Bacteroides (OTU 271)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Clostridiales (OTU 274)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 281)	3.248087431693997	0.19710006878327307	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.444027264740405
Oscillibacter (OTU 282)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 287)	3.060000000000019	0.216535667316005	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Turicibacter (OTU 288)	3.693333333333319	0.15776216471256285	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.444027264740405
Bacteria (OTU 299)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Parabacteroides (OTU 313)	3.4385964912280755	0.17919185246787067	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Coriobacteriaceae (OTU 314)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Clostridiales (OTU 318)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Anaeroplasma (OTU 334)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 335)	2.879873217115685	0.23694277835048597	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Ruminococcaceae (OTU 340)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Clostridiales_Incertae_Sedis_XIII (OTU 346)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Enterococcus (OTU 349)	3.9789473684210672	0.13676738934249008	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Bacteroides (OTU 350)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Akkermansia (OTU 356)	3.4385964912280755	0.17919185246787067	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
Lachnospiraceae (OTU 367)	2.6666666666666234	0.2635971381157325	2	Kruskal-Wallis rank sum test	0	0	0	0.444027264740405
