genus	method	WM	C	WMR	CWM	RM	FRM	WMC	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.004	0	0	0.002	0.001	0	6.486799809927669e-5	0.06061529470282915	0.08862508637503838	0.08862508637503838	0.0028503871932858277	0.5650671685312115	0.0028503871932858277	0.06061529470282915	0.5051814077768322	0.12721228165223916	0.014048892647203874	0.37790516595138735	0.6041381242513444	0.30618010272119817	1	NA	0.06061529470282915	0.37790516595138735	0.43979117919341293	0.12721228165223916	0.2864288984379989
Clostridium XlVb	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0.003	0	0.0017086437261122312	0.0849717946595466	0.024410170435723955	0.25371511162046356	0.015032050735405002	0.6783442170347584	0.053928205650267534	0.029847744302908312	0.7123285368775781	0.4814337212572015	7.461914727099217e-4	0.7927285253635364	0.015032050735405002	0.015032050735405002	0.024410170435723955	NA	0.10060946750768715	0.4814337212572015	0.6751624082202939	0.4393955774595663	0.0627903306263811
Dorea	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.1791518485385955	0.1791518485385955	0.65786435976372315	0.1791518485385955	0.65786435976372315	NA	0.1791518485385955	0.65786435976372315	NA	NA	0.4777341314293339	0.7865007201568981	NA	NA	NA	0.6440492331922354	0.8136637157667919	NA	NA	NA	NA
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.166	0.0685	0.001	0.2635	0.0465	0.112	0.505	0.006716639472916081	0.006604550784458561	0.007765424510206578	0.16931990600341185	2.9666311086671514e-6	0.0022065770370670434	0.005743589743589744	0.289143276208732	0.021277176412293982	4.2401399919235434e-4	0.4439284485724114	0.24555819256363726	0.08524916693773336	0.016870193838851546	0.11447963800904977	0.18186274509803924	0.005743589743589744	0.020004872630750146	0.1582720588235294	0.018461538461538463	0.05769230769230769
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.32421314405465923	0.20953585615883047	0.007596492669261728	0.31441561931645334	0.8378253150695336	0.012625120967862656	0.07010281606870973	0.09839991994310579	0.003776979995546526	0.16168310705672795	0.39121945008405545	0.6890097396001217	0.08077727135382544	0.8378253150695336	0.2970170276032869	0.6890097396001217	0.9724794328607432	0.1879051266069859	1	0.1752266648202906	0.9324762073995417
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.026500000000000003	0.11199999999999999	0.137	0.014499999999999999	0.0625	0.237	0.003	0.004648566361261954	0.023079654950247573	0.4449943953140772	0.6952530333953482	0.005861809921972407	0.05759752741686786	0.030098306185832067	0.1097900761431265	0.1097900761431265	0.043066096082897166	0.009583046906574634	0.19320021571524032	0.13762099449679113	0.013467605357321418	0.035631134714998555	0.19038208427945968	0.023079654950247573	0.1097900761431265	0.08947193406574921	0.030098306185832067	0.06259764390685892
Lactobacillus	Kruskal-Wallis rank sum test	0.015500000000000002	0.048	0.026	0.0295	0.0275	0.096	0.013000000000000001	0.10720680297776497	0.8454874516873502	0.10720680297776497	0.41894758477687116	0.13426573426573427	0.461307129804802	0.35497776913783885	0.13426573426573427	0.41894758477687116	0.9384713861363227	0.10720680297776497	0.38147093164472706	0.10720680297776497	0.10720680297776497	0.10720680297776497	0.8454874516873502	0.10720680297776497	0.35497776913783885	0.35497776913783885	0.13426573426573427	0.10720680297776497
Oscillibacter	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.010761896180117435	0.054029927033811424	0.6410967139768998	NA	0.010761896180117435	0.054029927033811424	0.239509103990368	0.054029927033811424	0.30875717943357445	0.239509103990368	0.054029927033811424	0.4477434882174176	0.7943948350831459	0.054029927033811424	0.42314655340106755	NA	0.239509103990368	0.42314655340106755	NA	0.6096410774854407	0.42314655340106755
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0045000000000000005	0.004	0	0.028499999999999998	0.001	0.001	0	0.9610632489127887	0.0037715495427211006	0.002591213481001578	0.01816052540365579	0.01954550122024757	0.0037715495427211006	0.2407278692588524	0.15896478767654804	0.07027851190622458	0.01954550122024757	0.11766106472471999	0.11766106472471999	0.2109487675939322	0.04106426489276084	0.8226405325519716	0.2972160670580347	0.280346756567382	0.8102357270637216	0.08482314606311248	0.6180019558455705	1
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0215	0.001	0	0	0.047	0.003	0.017960233020502973	0.28111681437381686	0.6199817613349616	0.9785987843283861	0.017960233020502973	0.2573244433342235	0.8526196477516335	0.493268031280363	0.6199817613349616	0.8526196477516335	0.11123517755316822	0.9785987843283861	0.8969410822637129	0.11123517755316822	0.6199817613349616	0.6199817613349616	0.493268031280363	0.9785987843283861	0.6199817613349616	0.9415415037801264	0.6199817613349616
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0	0.005662277977365579	0.18034920080521832	0.16001057564964444	NA	0.005662277977365579	0.18034920080521832	0.1707173106200846	0.15358768283985175	0.9342480885189418	0.1707173106200846	0.18034920080521832	0.18034920080521832	1	0.18034920080521832	0.9382384435759964	NA	0.18034920080521832	0.6724599028276206	NA	0.5617424076358999	0.7266919396024157
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.0185	0.008	0	0.006	0.012	0	4.811263105312342e-6	6.054378542487479e-4	0.04936216860601978	0.04936216860601978	3.279075356407219e-5	0.01767903057065668	3.279075356407219e-5	0.0026484308842369287	0.7110214472948184	9.542669018286667e-4	5.681294791399598e-4	0.2270851861368833	0.8648663714546324	0.011677811542296761	0.1628502095908118	0.7955017598675663	0.014238631733954921	0.053819473277219636	0.24297786203975633	0.02050125237955467	0.04936216860601978
Turicibacter	Kruskal-Wallis rank sum test	0.009	0.0055	0.024	0.035500000000000004	0.0195	0.001	0	0.6371287402547305	0.10439458880829244	0.04867521714954099	0.04867521714954099	0.01352985409334037	0.33758673565860686	0.37419201945698033	0.10755388817583893	0.37419201945698033	0.10755388817583893	0.19028917357565847	0.321782538026293	0.10439458880829244	0.04867521714954099	0.10439458880829244	0.129307134697431	0.129307134697431	0.10755388817583893	0.04867521714954099	0.10439458880829244	0.37419201945698033
