otu	statistic	p.value	parameter	method	WM	WMR	WMC	p.value.adj
Lachnospiraceae (OTU 259)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 269)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 271)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 272)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Parabacteroides (OTU 275)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Alistipes (OTU 277)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 278)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 280)	0.9257142857143138	0.629482552164049	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 283)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales_Incertae_Sedis_XIII (OTU 284)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 285)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 287)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 288)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 290)	1.2857142857142918	0.5257880244257781	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 291)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 292)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 293)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lactobacillus (OTU 294)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Turicibacter (OTU 299)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 300)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidetes (OTU 304)	1.2919254658385155	0.5241576752707617	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 308)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroides (OTU 309)	1.5575091575091795	0.45897727554920054	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 312)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 313)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 314)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 321)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 330)	0.9285714285714571	0.6285839333986162	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Phascolarctobacterium (OTU 331)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidales (OTU 333)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 337)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridium_sensu (OTU 345)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Akkermansia (OTU 348)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 353)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 355)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Enterorhabdus (OTU 358)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 362)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 364)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 366)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 373)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Turicibacter (OTU 374)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 375)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 377)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 378)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 381)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 382)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 385)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Barnesiella (OTU 396)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 417)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 425)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 429)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 435)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 438)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 440)	0.5934065934065272	0.7432645086794025	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidetes (OTU 442)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Pasteurellaceae (OTU 446)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 450)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 468)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 475)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 491)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Phyllobacteriaceae (OTU 493)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 514)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 516)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 545)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 555)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridium (OTU 572)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 581)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 588)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 591)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 602)	0.594285714285648	0.742937870799062	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 607)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 621)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 631)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 680)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridia (OTU 681)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 700)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Collinsella (OTU 744)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 754)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 790)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 800)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 836)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Anaerostipes (OTU 840)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 867)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 923)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidales (OTU 958)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Clostridiales (OTU 1027)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lactobacillus (OTU 1121)	1.3965714285714417	0.49743732297712157	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1199)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 1230)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1233)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1260)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1264)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1268)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Barnesiella (OTU 1296)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 1332)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1350)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Alistipes (OTU 1361)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Firmicutes (OTU 1439)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Ruminococcaceae (OTU 1491)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1544)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteria (OTU 1607)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1694)	1.3965714285714417	0.49743732297712157	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1698)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1828)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 1859)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 1971)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidales (OTU 1999)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroides (OTU 2112)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 2163)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 2198)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 2212)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 2266)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 2611)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 2741)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidales (OTU 2888)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 2972)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 2974)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 2981)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 3051)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 3056)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 3391)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 4236)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 4521)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 4628)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 4643)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Porphyromonadaceae (OTU 4737)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Odoribacter (OTU 4974)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 5119)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 5289)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 5392)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Bacteroidetes (OTU 5567)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Hyphomicrobium (OTU 5587)	0.28571428571422086	0.8668778997502098	2	Kruskal-Wallis rank sum test	0	0	0	0.8692082166850221
Lachnospiraceae (OTU 104)	0.22961038961039382	0.8915398035764897	2	Kruskal-Wallis rank sum test	0	0	0	0.8915398035764897
Clostridium_sensu (OTU 53)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 58)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 100)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 127)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 143)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 149)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 150)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 152)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 157)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerostipes (OTU 159)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 160)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 162)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 165)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 169)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 171)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium (OTU 172)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 180)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 181)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Prevotella (OTU 191)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 193)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 195)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 197)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 200)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridium (OTU 201)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinobacillus (OTU 202)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 205)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 207)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 209)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 211)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Corynebacterium (OTU 213)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacillus (OTU 218)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillus (OTU 221)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 225)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 227)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Listeria (OTU 228)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 230)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Fusobacterium (OTU 231)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pasteurellaceae (OTU 233)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerotruncus (OTU 234)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 235)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Oscillibacter (OTU 236)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 238)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 239)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 241)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lactobacillales (OTU 242)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 244)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 249)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 252)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 254)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 255)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 256)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 257)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 260)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acetatifactor (OTU 263)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 264)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Coriobacteriaceae (OTU 265)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 266)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acidaminococcus (OTU 267)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 270)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Blautia (OTU 273)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Olsenella (OTU 274)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 276)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Firmicutes (OTU 279)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aerococcus (OTU 281)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroides (OTU 282)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Veillonellaceae (OTU 286)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 295)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 297)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Pseudomonas (OTU 298)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 301)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaeroplasma (OTU 302)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 303)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 305)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 306)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 307)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteria (OTU 310)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 311)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bradyrhizobium (OTU 315)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 316)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 317)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 318)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Roseburia (OTU 319)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 322)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridia (OTU 323)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Akkermansia (OTU 324)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 325)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 326)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Streptococcus (OTU 327)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 328)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Clostridiales (OTU 329)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroidales (OTU 334)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Ruminococcaceae (OTU 335)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Porphyromonadaceae (OTU 338)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bilophila (OTU 339)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Lachnospiraceae (OTU 340)	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
