genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	p.value.adj
Clostridium sensu stricto	10.790857923578342	0.2138333885442881	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.41791363319660974
Clostridium XVIII	10.375000000000217	0.23968576021570265	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.41791363319660974
Hungatella	10.375000000000217	0.23968576021570265	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.41791363319660974
Lactococcus	10.375000000000217	0.23968576021570265	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.41791363319660974
Ruminococcus2	10.375000000000217	0.23968576021570265	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.41791363319660974
Dorea	9.040990687532286	0.338849845445377	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.5760447372571409
Bradyrhizobium	8.09999999999975	0.4237633294580099	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Campylobacter	8.09999999999975	0.4237633294580099	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Megasphaera	8.09999999999975	0.4237633294580099	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Parabacteroides	8.09999999999975	0.4237633294580099	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Subdoligranulum	8.09999999999975	0.4237633294580099	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Sutterella	8.305000000000721	0.4042581075102367	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Veillonella	8.642571635933578	0.3733390884844081	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.6131043915562696
Actinomyces	6.150576581904981	0.6303694086180187	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8243292266543322
Alistipes	6.291003006134488	0.6146708676078231	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8243292266543322
Coriobacteriaceae Unclassified	6.321895165802523	0.6112233824287735	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8243292266543322
Fusobacterium	6.150576581904981	0.6303694086180187	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8243292266543322
Roseburia	6.2239766081876	0.6221589783598636	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8243292266543322
Olsenella	5.886340435566463	0.6599618299436456	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8467434799276962
Streptococcus	5.774580422368204	0.6724654415116225	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8468083337553765
Acidaminococcus	4.35294117647049	0.8239592122162833	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Aerococcus	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Anaerotruncus	5.28519497686748	0.7267044251745489	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Bacillus	4.35294117647049	0.8239592122162833	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Cloacibacillus	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Corynebacterium	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Geobacillus	4.35294117647049	0.8239592122162833	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Lysobacter	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Pasteurellaceae Unclassified	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Pseudomonas	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Rothia	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Ruminococcus	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Staphylococcus	4.3629639614570355	0.8229814188668135	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Veillonellaceae Unclassified	3.7894736842108574	0.8756007447391008	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.8756007447391008
Acetitomaculum	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Actinobacillus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Aestuariispira	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaerofustis	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Anaerostipes	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Atopostipes	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Aurantimonadaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacillaceae 1 Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacillales Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacilli Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bacteroidetes Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Betaproteobacteria Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Bifidobacteriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Brachybacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Brucellaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Burkholderia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Burkholderiales Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Butyricimonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Butyrivibrio	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Carnobacteriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Catonella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Chitinophagaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Cloacibacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiaceae 1 Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridiales Incertae Sedis XIII Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Clostridium XI	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Collinsella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Curvibacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Cystobacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Desulfovibrio	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Devosia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Dialister	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Dysgonomonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Escherichia/Shigella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Eubacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Faecalibacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Finegoldia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Flavobacteriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Flavobacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Flavonifractor	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Fusicatenibacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Fusobacteriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Gemella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Gemmata	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Granulicatella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Hyphomicrobium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Janthinobacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Jeotgalicoccus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lactobacillaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Lactobacillales Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Leptotrichia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Listeria	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Mannheimia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Marmoricola	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Methylobacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Morganella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Mucispirillum	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Neisseria	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Neisseriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Odoribacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Paraprevotella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Parasutterella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Parvimonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Pectinatus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Peptoniphilus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Peptostreptococcus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Phenylobacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Phocaeicola	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Phyllobacteriaceae Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Phyllobacterium	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Porphyromonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Proteobacteria Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Proteus	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Pyramidobacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Ralstonia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Romboutsia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Senegalimassilia	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Sphingomonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Stenotrophomonas	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Stomatobaculum	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Succiniclasticum	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Succinivibrio	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Terrisporobacter	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Verrucomicrobia Unclassified	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
Weissella	NaN	NaN	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	NaN
