Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Porphyromonas cangingivalis strain VPB 4874 16S ribosomal RNA, partial sequence",Porphyromonas cangingivalis,226,226,100%,5e-59,82.88,1484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026136.1?report=genbank&log$=nucltop&blast_rank=32&RID=44RT4XA6013"",""NR_026136.1"")"
"Rufibacter ruber strain CCM 8646 16S ribosomal RNA, partial sequence",Rufibacter ruber,224,224,100%,2e-58,83.08,1500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152665.1?report=genbank&log$=nucltop&blast_rank=33&RID=44RT4XA6013"",""NR_152665.1"")"
"Dysgonomonas massiliensis strain Marseille-P4356 16S ribosomal RNA, partial sequence",Dysgonomonas massiliensis,224,224,100%,2e-58,82.75,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_164950.1?report=genbank&log$=nucltop&blast_rank=34&RID=44RT4XA6013"",""NR_164950.1"")"
"Rufibacter quisquiliarum strain CAI-18b 16S ribosomal RNA, partial sequence",Rufibacter quisquiliarum,224,224,100%,2e-58,83.08,1434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_153696.1?report=genbank&log$=nucltop&blast_rank=35&RID=44RT4XA6013"",""NR_153696.1"")"
"Pedobacter nanyangensis strain Q-4 16S ribosomal RNA, partial sequence",Pedobacter nanyangensis,224,224,100%,2e-58,82.75,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_137392.1?report=genbank&log$=nucltop&blast_rank=36&RID=44RT4XA6013"",""NR_137392.1"")"
"Marinilabilia rubra strain WTE16 16S ribosomal RNA, partial sequence",Marinilabilia rubra,224,224,100%,2e-58,82.75,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_171512.1?report=genbank&log$=nucltop&blast_rank=37&RID=44RT4XA6013"",""NR_171512.1"")"
"Porphyromonas circumdentaria strain JCM 13864 16S ribosomal RNA, partial sequence",Porphyromonas circumdentaria,224,224,100%,2e-58,82.88,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113083.1?report=genbank&log$=nucltop&blast_rank=38&RID=44RT4XA6013"",""NR_113083.1"")"
"Porphyromonas catoniae ATCC 51270 strain JCM 13863 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,224,224,100%,2e-58,82.75,1451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113082.1?report=genbank&log$=nucltop&blast_rank=39&RID=44RT4XA6013"",""NR_113082.1"")"
"Anaerophaga thermohalophila DSM 12881 strain Fru22 16S ribosomal RNA, partial sequence",Anaerophaga thermohalophila DSM 12881,224,224,100%,2e-58,82.88,1512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_028963.1?report=genbank&log$=nucltop&blast_rank=40&RID=44RT4XA6013"",""NR_028963.1"")"
"Porphyromonas levii DSM 23370 16S ribosomal RNA, partial sequence",Porphyromonas levii DSM 23370,222,222,100%,6e-58,82.28,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025907.1?report=genbank&log$=nucltop&blast_rank=41&RID=44RT4XA6013"",""NR_025907.1"")"
"Porphyromonas circumdentaria strain NCTC 12469 16S ribosomal RNA, partial sequence",Porphyromonas circumdentaria,220,220,100%,2e-57,82.49,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044639.1?report=genbank&log$=nucltop&blast_rank=42&RID=44RT4XA6013"",""NR_044639.1"")"
"Porphyromonas catoniae ATCC 51270 16S ribosomal RNA, partial sequence",Porphyromonas catoniae ATCC 51270,220,220,100%,2e-57,82.35,1470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_026230.1?report=genbank&log$=nucltop&blast_rank=43&RID=44RT4XA6013"",""NR_026230.1"")"
"Marinilabilia nitratireducens strain AK2 16S ribosomal RNA, partial sequence",Marinilabilia nitratireducens,219,219,100%,8e-57,82.35,1403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_132609.1?report=genbank&log$=nucltop&blast_rank=44&RID=44RT4XA6013"",""NR_132609.1"")"
"Dysgonomonas macrotermitis strain Dys-CH1 16S ribosomal RNA, partial sequence",Dysgonomonas macrotermitis,219,219,100%,8e-57,82.28,1419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134023.1?report=genbank&log$=nucltop&blast_rank=45&RID=44RT4XA6013"",""NR_134023.1"")"
"Coprobacter fastidiosus NSB1 16S ribosomal RNA, partial sequence",Coprobacter fastidiosus NSB1,219,219,100%,8e-57,82.42,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_118316.1?report=genbank&log$=nucltop&blast_rank=46&RID=44RT4XA6013"",""NR_118316.1"")"
"Parabacteroides distasonis ATCC 8503 16S ribosomal RNA, partial sequence",Parabacteroides distasonis ATCC 8503,219,219,100%,8e-57,82.42,1497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_074376.1?report=genbank&log$=nucltop&blast_rank=47&RID=44RT4XA6013"",""NR_074376.1"")"
"Rufibacter soli strain FJY1 16S ribosomal RNA, partial sequence",Rufibacter soli,219,219,100%,8e-57,82.56,1444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_169379.1?report=genbank&log$=nucltop&blast_rank=48&RID=44RT4XA6013"",""NR_169379.1"")"
"Parabacteroides distasonis strain JCM 5825 16S ribosomal RNA, partial sequence",Parabacteroides distasonis,219,219,100%,8e-57,82.42,1488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041342.1?report=genbank&log$=nucltop&blast_rank=49&RID=44RT4XA6013"",""NR_041342.1"")"
"Marinilabilia salmonicolor JCM 21150 strain NBRC 15948 16S ribosomal RNA, partial sequence",Marinilabilia salmonicolor JCM 21150,219,219,100%,8e-57,82.35,1449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104682.1?report=genbank&log$=nucltop&blast_rank=50&RID=44RT4XA6013"",""NR_104682.1"")"
"Geofilum rubicundum JCM 15548 strain JAM-BA0501 16S ribosomal RNA, partial sequence",Geofilum rubicundum JCM 15548,219,219,100%,8e-57,82.21,1440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112717.1?report=genbank&log$=nucltop&blast_rank=51&RID=44RT4XA6013"",""NR_112717.1"")"
"Porphyromonas canoris strain JCM 16132 16S ribosomal RNA, partial sequence",Porphyromonas canoris,219,219,100%,8e-57,82.35,1493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104686.1?report=genbank&log$=nucltop&blast_rank=52&RID=44RT4XA6013"",""NR_104686.1"")"
"Parapedobacter luteus strain 4M29 16S ribosomal RNA, partial sequence",Parapedobacter luteus,219,219,100%,8e-57,82.56,1463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_104534.1?report=genbank&log$=nucltop&blast_rank=53&RID=44RT4XA6013"",""NR_104534.1"")"
"Rikenella microfusus strain Q-1 16S ribosomal RNA, partial sequence",Rikenella microfusus,217,217,100%,3e-56,81.89,1472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025910.1?report=genbank&log$=nucltop&blast_rank=54&RID=44RT4XA6013"",""NR_025910.1"")"
"Marinilabilia salmonicolor JCM 21150 strain NCIMB 2216 16S ribosomal RNA, partial sequence",Marinilabilia salmonicolor JCM 21150,215,215,100%,1e-55,81.89,1258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_115480.1?report=genbank&log$=nucltop&blast_rank=55&RID=44RT4XA6013"",""NR_115480.1"")"
"Pedobacter changchengzhani strain E01020 16S ribosomal RNA, partial sequence",Pedobacter changchengzhani,213,213,100%,4e-55,82.10,1508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_164993.1?report=genbank&log$=nucltop&blast_rank=56&RID=44RT4XA6013"",""NR_164993.1"")"
"Bacteroides stercoris ATCC 43183 16S ribosomal RNA, partial sequence",Bacteroides stercoris ATCC 43183,213,213,100%,4e-55,81.82,1342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_027196.1?report=genbank&log$=nucltop&blast_rank=57&RID=44RT4XA6013"",""NR_027196.1"")"
"Parapedobacter defluvii strain WY-1 16S ribosomal RNA, partial sequence",Parapedobacter defluvii,213,213,100%,4e-55,82.17,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_159131.1?report=genbank&log$=nucltop&blast_rank=58&RID=44RT4XA6013"",""NR_159131.1"")"
"Alistipes obesi strain ph8 16S ribosomal RNA, partial sequence",Alistipes communis,213,213,100%,4e-55,81.82,1388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_133025.1?report=genbank&log$=nucltop&blast_rank=59&RID=44RT4XA6013"",""NR_133025.1"")"
"Nubsella zeaxanthinifaciens strain NBRC 102579 16S ribosomal RNA, partial sequence",Nubsella zeaxanthinifaciens,213,213,100%,4e-55,81.96,1445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_114146.1?report=genbank&log$=nucltop&blast_rank=60&RID=44RT4XA6013"",""NR_114146.1"")"
"Parabacteroides chartae strain NS31-3 16S ribosomal RNA, partial sequence",Parabacteroides chartae,213,213,100%,4e-55,81.89,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109439.1?report=genbank&log$=nucltop&blast_rank=61&RID=44RT4XA6013"",""NR_109439.1"")"
"Parapedobacter pyrenivorans strain P-4 16S ribosomal RNA, partial sequence",Parapedobacter pyrenivorans,213,213,100%,4e-55,82.17,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109750.1?report=genbank&log$=nucltop&blast_rank=62&RID=44RT4XA6013"",""NR_109750.1"")"
"Olivibacter composti strain CC-KYC063 16S ribosomal RNA, partial sequence",Olivibacter composti,213,213,100%,4e-55,81.96,1465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156040.1?report=genbank&log$=nucltop&blast_rank=63&RID=44RT4XA6013"",""NR_156040.1"")"
"Macellibacteroides fermentans strain LIND7H 16S ribosomal RNA, partial sequence",Macellibacteroides fermentans,213,213,100%,4e-55,81.89,1502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_117913.1?report=genbank&log$=nucltop&blast_rank=64&RID=44RT4XA6013"",""NR_117913.1"")"
"Pedobacter rhizosphaerae strain 01-96 16S ribosomal RNA, partial sequence",Pedobacter rhizosphaerae,213,213,100%,4e-55,82.10,1486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_122096.1?report=genbank&log$=nucltop&blast_rank=65&RID=44RT4XA6013"",""NR_122096.1"")"
"Porphyromonas gulae strain Loup-1 16S ribosomal RNA, partial sequence",Porphyromonas gulae,213,213,100%,4e-55,81.96,1466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025052.1?report=genbank&log$=nucltop&blast_rank=66&RID=44RT4XA6013"",""NR_025052.1"")"
"Nubsella zeaxanthinifaciens strain TDMA-5 16S ribosomal RNA, partial sequence",Nubsella zeaxanthinifaciens,213,213,100%,4e-55,81.96,1422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_041478.1?report=genbank&log$=nucltop&blast_rank=67&RID=44RT4XA6013"",""NR_041478.1"")"
"Parapedobacter soli strain DCY14 16S ribosomal RNA, partial sequence",Parapedobacter soli,213,213,100%,4e-55,82.17,1468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_044119.1?report=genbank&log$=nucltop&blast_rank=68&RID=44RT4XA6013"",""NR_044119.1"")"
"Parapedobacter koreensis strain Jip14 16S ribosomal RNA, partial sequence",Parapedobacter koreensis,213,213,100%,4e-55,82.17,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_043933.1?report=genbank&log$=nucltop&blast_rank=69&RID=44RT4XA6013"",""NR_043933.1"")"
"Porphyromonas gulae strain JCM 13865 16S ribosomal RNA, partial sequence",Porphyromonas gulae,213,213,100%,4e-55,81.96,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_113088.1?report=genbank&log$=nucltop&blast_rank=70&RID=44RT4XA6013"",""NR_113088.1"")"
"Bacteroides stercoris ATCC 43183 strain JCM 9496 16S ribosomal RNA, partial sequence",Bacteroides stercoris ATCC 43183,213,213,100%,4e-55,81.82,1476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_112943.1?report=genbank&log$=nucltop&blast_rank=71&RID=44RT4XA6013"",""NR_112943.1"")"
"Porphyromonas macacae strain 7728-L6C 16S ribosomal RNA, partial sequence",Porphyromonas macacae,209,209,100%,5e-54,81.57,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025908.1?report=genbank&log$=nucltop&blast_rank=72&RID=44RT4XA6013"",""NR_025908.1"")"
"Porphyromonas gingivalis ATCC 33277 16S ribosomal RNA, partial sequence",Porphyromonas gingivalis ATCC 33277,207,207,100%,2e-53,81.57,1472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_040838.1?report=genbank&log$=nucltop&blast_rank=73&RID=44RT4XA6013"",""NR_040838.1"")"
"Hymenobacter nivis strain NBRC 111535 16S ribosomal RNA, partial sequence",Hymenobacter nivis,207,207,100%,2e-53,81.71,1438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_152676.1?report=genbank&log$=nucltop&blast_rank=74&RID=44RT4XA6013"",""NR_152676.1"")"
"Pedobacter cryoconitis strain A37 16S ribosomal RNA, partial sequence",Pedobacter cryoconitis,207,207,100%,2e-53,81.64,1495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_025534.1?report=genbank&log$=nucltop&blast_rank=75&RID=44RT4XA6013"",""NR_025534.1"")"
"Parapedobacter deserti strain N5SSJ16 16S ribosomal RNA, partial sequence",Parapedobacter deserti,207,207,100%,2e-53,81.78,1413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_157620.1?report=genbank&log$=nucltop&blast_rank=76&RID=44RT4XA6013"",""NR_157620.1"")"
"Pedobacter lusitanus strain NL19 16S ribosomal RNA, partial sequence",Pedobacter lusitanus,207,207,100%,2e-53,81.64,1518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156892.1?report=genbank&log$=nucltop&blast_rank=77&RID=44RT4XA6013"",""NR_156892.1"")"
"Nibribacter koreensis strain GSR3061 16S ribosomal RNA, partial sequence",Nibribacter koreensis,207,207,100%,2e-53,81.78,1350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_109492.1?report=genbank&log$=nucltop&blast_rank=78&RID=44RT4XA6013"",""NR_109492.1"")"
"Hymenobacter coccineus strain CCM 8649 16S ribosomal RNA, partial sequence",Hymenobacter coccineus,207,207,100%,2e-53,81.71,1502,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156972.1?report=genbank&log$=nucltop&blast_rank=79&RID=44RT4XA6013"",""NR_156972.1"")"
"Pedobacter seoulensis strain THG-G12 16S ribosomal RNA, partial sequence",Pedobacter seoulensis,207,207,100%,2e-53,81.64,1413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_145561.1?report=genbank&log$=nucltop&blast_rank=80&RID=44RT4XA6013"",""NR_145561.1"")"
"Pedobacter lithocola strain CCM 8691 16S ribosomal RNA, partial sequence",Pedobacter lithocola,207,207,100%,2e-53,81.64,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_156883.1?report=genbank&log$=nucltop&blast_rank=81&RID=44RT4XA6013"",""NR_156883.1"")"
"Anseongella ginsenosidimutans strain Gsoil 524 16S ribosomal RNA, partial sequence",Anseongella ginsenosidimutans,207,207,100%,2e-53,81.64,1457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_148803.1?report=genbank&log$=nucltop&blast_rank=82&RID=44RT4XA6013"",""NR_148803.1"")"
"Pedobacter humi strain THG S15-2 16S ribosomal RNA, partial sequence",Pedobacter humi,207,207,100%,2e-53,81.78,1432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_149285.1?report=genbank&log$=nucltop&blast_rank=83&RID=44RT4XA6013"",""NR_149285.1"")"
"Dysgonomonas alginatilytica strain HUA-2 16S ribosomal RNA, partial sequence",Dysgonomonas alginatilytica,207,207,100%,2e-53,81.42,1450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_137388.1?report=genbank&log$=nucltop&blast_rank=84&RID=44RT4XA6013"",""NR_137388.1"")"
"Pontibacter humi strain SWU8 16S ribosomal RNA, partial sequence",Pontibacter humi,207,207,100%,2e-53,81.92,1447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NR_134791.1?report=genbank&log$=nucltop&blast_rank=85&RID=44RT4XA6013"",""NR_134791.1"")"
